iso_a3,year,parfam,vote_sum,seat_sum,n_parties,vote_total,seat_total,vote_rel,seat_rel
ALB,1991,20,56.167,67.60000000000001,1,95.602,99.60000000000001,58.75086295265789,67.8714859437751
ALB,1991,30,0,0,1,95.602,99.60000000000001,0,0
ALB,1991,60,38.708,30,2,95.602,99.60000000000001,40.48869270517353,30.12048192771084
ALB,1991,70,0,0,1,95.602,99.60000000000001,0,0
ALB,1991,80,0,0,1,95.602,99.60000000000001,0,0
ALB,1991,90,0.727,2,1,95.602,99.60000000000001,0.7604443421685739,2.008032128514056
ALB,1991,95,0,0,1,95.602,99.60000000000001,0,0
ALB,1992,20,25.732,27.142857142857142,1,98.226,99.28571428571428,26.196729990023005,27.33812949640288
ALB,1992,30,4.381,5,1,98.226,99.28571428571428,4.460122574471118,5.035971223021583
ALB,1992,40,0,0,1,98.226,99.28571428571428,0,0
ALB,1992,60,62.087,65.71428571428571,1,98.226,99.28571428571428,63.208315517276496,66.18705035971223
ALB,1992,70,3.123,0,2,98.226,99.28571428571428,3.1794026021623605,0
ALB,1992,90,2.903,1.4285714285714286,1,98.226,99.28571428571428,2.955429316067029,1.4388489208633095
ALB,1996,20,20.371,7.142857142857142,1,92.724,98.57142857142857,21.969500884344935,7.246376811594202
ALB,1996,30,0,0,1,92.724,98.57142857142857,0,0
ALB,1996,40,0,0,1,92.724,98.57142857142857,0,0
ALB,1996,60,55.526,87.14285714285714,1,92.724,98.57142857142857,59.8830939131185,88.40579710144927
ALB,1996,70,10.713999999999999,2.142857142857143,2,92.724,98.57142857142857,11.554721539191577,2.1739130434782608
ALB,1996,80,0,0,1,92.724,98.57142857142857,0,0
ALB,1996,90,4.041,2.142857142857143,1,92.724,98.57142857142857,4.358094991587938,2.1739130434782608
ALB,1996,95,2.072,0,1,92.724,98.57142857142857,2.2345886717570425,0
ALB,1997,20,53.055,65.16129032258064,1,95.066,95.48387096774194,55.80859613321272,68.24324324324324
ALB,1997,30,2.62,6.451612903225806,1,95.066,95.48387096774194,2.7559800559611216,6.756756756756756
ALB,1997,40,2.74,1.2903225806451613,1,95.066,95.48387096774194,2.88220815012728,1.3513513513513513
ALB,1997,60,25.049,16.129032258064516,1,95.066,95.48387096774194,26.349062756400816,16.89189189189189
ALB,1997,70,4.703,2.5806451612903225,2,95.066,95.48387096774194,4.947089390528685,2.7027027027027026
ALB,1997,80,0.797,0,1,95.066,95.48387096774194,0.8383649254202343,0
ALB,1997,90,2.848,2.5806451612903225,1,95.066,95.48387096774194,2.9958134348768226,2.7027027027027026
ALB,1997,95,3.254,1.2903225806451613,1,95.066,95.48387096774194,3.422885153472324,1.3513513513513513
ALB,2001,20,41.51,52.142857142857146,1,52.879999999999995,61.42857142857143,78.49848714069593,84.88372093023256
ALB,2001,30,3.64,2.857142857142857,1,52.879999999999995,61.42857142857143,6.883509833585477,4.651162790697675
ALB,2001,40,2.55,2.142857142857143,1,52.879999999999995,61.42857142857143,4.822239031770045,3.4883720930232553
ALB,2001,80,2.57,2.142857142857143,1,52.879999999999995,61.42857142857143,4.860060514372164,3.4883720930232553
ALB,2001,90,2.61,2.142857142857143,1,52.879999999999995,61.42857142857143,4.9357034795764,3.4883720930232553
ALB,2017,20,62.6161248933413,66.42857142857143,2,97.21935467559959,100,64.40705670416972,66.42857142857143
ALB,2017,30,0.947634547925292,0.7142857142857143,1,97.21935467559959,100,0.9747385704084829,0.7142857142857143
ALB,2017,60,28.8476440286951,30.714285714285715,1,97.21935467559959,100,29.67273761994572,30.714285714285715
ALB,2017,90,4.8079512056379,2.142857142857143,1,97.21935467559959,100,4.94546710547608,2.142857142857143
ALB,2021,20,55.4865373025387,55.714285714285715,2,97.16097612343529,100,57.107842589032316,55.714285714285715
ALB,2021,30,2.24775769126469,2.142857142857143,1,97.16097612343529,100,2.3134367118842984,2.142857142857143
ALB,2021,60,39.4266811296319,42.142857142857146,1,97.16097612343529,100,40.578720699083384,42.142857142857146
ARG,1989,30,28.749,35.43307086614173,1,83.02799999999999,90.55118110236221,34.62566844919787,39.130434782608695
ARG,1989,40,54.278999999999996,55.118110236220474,2,83.02799999999999,90.55118110236221,65.37433155080214,60.869565217391305
ARG,1995,20,20.689,10.116731517509727,1,85.41900000000001,87.54863813229572,24.220606656598648,11.555555555555555
ARG,1995,30,21.704,26.459143968871597,1,85.41900000000001,87.54863813229572,25.408866879734013,30.222222222222225
ARG,1995,40,43.026,50.97276264591439,1,85.41900000000001,87.54863813229572,50.37052646366733,58.222222222222214
ARG,1999,30,43.764,46.30350194552529,1,87.81400000000001,89.10505836575877,49.837155806591205,51.96506550218341
ARG,1999,40,35.936,38.52140077821012,1,87.81400000000001,89.10505836575877,40.922859680688724,43.23144104803494
ARG,1999,60,8.114,4.280155642023346,1,87.81400000000001,89.10505836575877,9.239984512720067,4.803493449781659
ARG,2003,20,0,0,4,0,0,NA,NA
ARG,2003,40,0,0,1,0,0,NA,NA
ARG,2007,20,0,73.54085603112841,3,0,85.21400778210118,NA,86.3013698630137
ARG,2007,30,0,11.673151750972762,1,0,85.21400778210118,NA,13.698630136986298
ARG,2009,20,59.08,62.2568093385214,5,78.28999999999999,66.53696498054475,75.46302209733045,93.56725146198829
ARG,2009,60,19.21,4.280155642023346,1,78.28999999999999,66.53696498054475,24.536977902669566,6.432748538011696
ARG,2011,20,71.1,53.696498054474716,4,76,68.48249027237355,93.55263157894736,78.4090909090909
ARG,2011,30,4.9,14.785992217898833,1,76,68.48249027237355,6.447368421052633,21.59090909090909
